Disease	colorectal cancer	Rank_colorectal cancer
HG01968	0.6631	0.0879
HG01970	0.5216	0.0284
HG01971	0.8959	0.262
HG01973	0.6202	0.0643
HG01974	0.629	0.0691
HG01976	2.5176	0.9589
HG01977	0.5222	0.0288
HG01979	0.4749	0.0152
HG01980	0.4451	0.0104
HG01982	0.5039	0.0232
HG01985	1.0462	0.3918
HG01986	1.2838	0.5907
HG01988	1.2999	0.6038
HG01989	1.232	0.5491
HG01990	1.0314	0.377
HG01991	1.1193	0.4533
HG01992	0.6269	0.0679
HG01997	0.3253	8.00E-04
HG02002	0.7006	0.1078
HG02003	0.7686	0.1577
HG02006	0.6868	0.099
HG02008	0.56	0.0419
HG02009	1.1916	0.5156
HG02010	2.6776	0.9661
HG02012	1.0288	0.3746
HG02013	2.0655	0.9018
HG02014	1.5146	0.7388
HG02016	1.2045	0.5284
HG02017	0.6522	0.0815
HG02019	0.6183	0.0635
HG02020	0.7887	0.1761
HG02023	1.4693	0.7161
HG02025	2.01	0.8922
HG02026	0.5827	0.0519
HG02028	0.4133	0.008
HG02029	0.5211	0.028
HG02031	0.8048	0.1889
HG02032	0.3307	0.0016
HG02035	0.6613	0.0863
HG02040	0.9436	0.3087
HG02047	0.7349	0.1306
HG02048	0.6855	0.0982
HG02049	2.255	0.9305
HG02050	0.6733	0.0935
HG02051	0.9416	0.3039
HG02052	1	0.347
HG02053	0.7089	0.113
HG02054	1.0656	0.4101
HG02057	1.0163	0.3606
HG02058	0.7323	0.129
HG02060	1.2729	0.5799
HG02061	0.5651	0.0451
HG02064	0.7777	0.1661
HG02067	0.8425	0.2196
HG02069	0.7236	0.1226
HG02070	0.8765	0.246
HG02072	0.9301	0.2943
HG02073	0.7858	0.1721
HG02075	1.4953	0.7296
HG02076	0.7522	0.143
HG02078	1.1583	0.486
HG02079	0.9525	0.3127
HG02081	1.0081	0.3546
HG02082	0.7392	0.1322
HG02084	0.9478	0.3103
HG02085	1.649	0.7947
HG02086	2.4858	0.9557
HG02087	0.4027	0.0076
HG02088	0.6388	0.0751
HG02089	0.9795	0.3327
HG02090	1.6735	0.8087
HG02095	1.3228	0.6174
HG02102	0.7576	0.1494
HG02104	1.0572	0.401
HG02105	0.9618	0.3207
HG02107	1.8334	0.8562
HG02108	0.9606	0.3195
HG02111	1.2125	0.5351
HG02113	0.7306	0.1274
HG02116	1.2708	0.5779
HG02121	0.5236	0.0296
HG02122	2.5279	0.9597
HG02127	0.8531	0.2264
HG02128	1.1367	0.4673
HG02130	0.546	0.0359
HG02131	0.9881	0.3371
HG02133	1.525	0.7452
HG02134	1.7107	0.8195
HG02136	0.6952	0.1062
HG02137	0.8206	0.2033
HG02138	1.1343	0.4645
HG02139	0.7515	0.1418
HG02140	2.2375	0.9289
HG02141	1.1405	0.4716
HG02142	0.8351	0.2141
HG02143	1.1873	0.5108
HG02144	0.7298	0.127
HG02146	1.0033	0.3522
HG02147	0.9969	0.3458
HG02150	0.6703	0.0915
HG02151	1.351	0.6342
HG02152	0.9876	0.3367
HG02153	0.8277	0.2093
HG02154	1.1874	0.5116
HG02155	1.1108	0.4477
HG02156	0.5604	0.0427
HG02164	0.8638	0.2368
HG02165	0.7238	0.123
HG02166	0.6564	0.0831
HG02178	0.6117	0.0619
HG02179	0.8447	0.222
HG02180	1.0002	0.3478
HG02181	2.3827	0.9461
HG02182	0.7816	0.1701
HG02184	0.8714	0.2424
HG02185	1.0128	0.359
HG02186	0.9183	0.2827
HG02187	1.012	0.3582
HG02188	0.6669	0.0903
HG02190	0.6264	0.0675
HG02215	1.0359	0.3806
HG02219	2.2163	0.9277
HG02220	1.0405	0.3866
HG02221	0.8417	0.2173
HG02223	0.9099	0.2748
HG02224	0.8285	0.2097
HG02230	2.4907	0.9565
HG02231	1.0191	0.3642
HG02232	0.7395	0.1326
HG02233	1.3541	0.6386
HG02235	1.0467	0.3926
HG02236	0.8761	0.2456
HG02238	1.101	0.4365
HG02239	1.2136	0.5379
HG02250	0.3659	0.0032
HG02252	0.4833	0.0172
HG02253	0.4907	0.0192
HG02255	1.2744	0.5811
HG02256	0.5913	0.0543
HG02259	0.5442	0.0355
HG02260	0.7328	0.1294
HG02262	1.178	0.5052
HG02265	0.69	0.1002
HG02266	0.6594	0.0851
HG02271	0.9335	0.2979
HG02272	0.759	0.1514
HG02274	0.5635	0.0447
HG02275	0.5974	0.0575
HG02277	1.0334	0.379
HG02278	0.5036	0.0228
HG02281	1.0843	0.4269
HG02282	2.0191	0.8938
HG02283	1.5749	0.7664
HG02284	1.2559	0.5679
HG02285	0.7316	0.1282
HG02286	0.6334	0.0719
HG02291	1.0012	0.3498
HG02292	0.9102	0.2764
HG02298	1.183	0.5088
HG02299	0.6585	0.0847
HG02301	0.5827	0.0519
HG02304	0.8257	0.2073
HG02307	1.0682	0.4113
HG02308	1.2769	0.5831
HG02309	1.065	0.4089
HG02312	0.7043	0.1094
HG02314	1.105	0.4437
HG02315	0.6504	0.0799
HG02317	1.0152	0.3598
HG02318	0.6845	0.0974
HG02322	1.0466	0.3922
HG02323	1.358	0.6442
HG02325	1.2699	0.5767
HG02330	1.4053	0.6801
HG02332	0.9287	0.2919
HG02334	1.1646	0.494
HG02337	1.3827	0.6617
HG02339	0.8772	0.2464
HG02343	0.8122	0.1953
HG02345	0.6019	0.0595
HG02348	1.0719	0.4153
HG02351	0.5259	0.0304
HG02353	0.3428	0.0024
HG02355	0.5601	0.0423
HG02356	2.249	0.9297
HG02360	1.2203	0.5431
HG02364	0.6822	0.0954
HG02367	0.9895	0.3391
HG02371	0.7416	0.1338
HG02373	0.9202	0.2843
HG02374	0.4507	0.0116
HG02375	0.9701	0.3255
HG02379	1.1777	0.5048
HG02380	1.0045	0.3538
HG02382	1.3946	0.6733
HG02383	0.8053	0.1901
HG02384	0.7066	0.1106
HG02385	0.5505	0.0363
HG02386	0.9551	0.3139
HG02389	1.3512	0.6346
HG02390	1.6652	0.8023
HG02391	1.017	0.3614
